scenario,strategy,trades,pf,wr,ret,dd,sharpe
mc_021_extra0.266p,B,10.0,1.9712790603861114,50.0,0.3550126062787058,-0.2117104988746843,4.10885614695497
mc_022_extra0.404p,A,39.0,1.3137778280167483,33.33333333333333,0.6680200675655033,-0.8191507783814056,3.8845344938768154
mc_022_extra0.404p,C,21.0,0.5234803727711863,19.047619047619047,-0.5882009955212197,-0.8912082904481533,-6.238325432772524
mc_022_extra0.404p,B,10.0,1.9211899793191063,50.0,0.3424666682264615,-0.21296306255847997,3.9907980615654663
mc_023_extra0.623p,A,39.0,1.2712004186881052,33.33333333333333,0.590451067495087,-0.8387437525281483,3.467922566800923
mc_023_extra0.623p,C,21.0,0.5033891132382379,19.047619047619047,-0.6294911111982219,-0.9167008526055564,-6.619978749476149
mc_023_extra0.623p,B,10.0,1.8455590428022814,50.0,0.3225870700597443,-0.21495178263982728,3.799753505393582
mc_024_extra0.037p,A,39.0,1.3901331218655386,33.33333333333333,0.798514558335537,-0.7861546848332623,4.560205705297103
mc_024_extra0.037p,C,21.0,0.5598225237714228,19.047619047619047,-0.5188131512839209,-0.8483701494448104,-5.575187177325861
mc_024_extra0.037p,B,10.0,2.0577640640749006,50.0,0.3757484413042948,-0.20965240951689168,4.2992669201142695
mc_025_extra0.171p,A,39.0,1.3615923363325555,33.33333333333333,0.7510401264399843,-0.7981583438810502,4.31813641712371
mc_025_extra0.171p,C,21.0,0.5461910397297792,19.047619047619047,-0.5441013421377283,-0.8639797926847659,-5.8198218631458785
mc_025_extra0.171p,B,10.0,2.0065716904718967,50.0,0.3636327792753582,-0.21086027129125773,4.188647102838199
mc_026_extra0.095p,A,39.0,1.3775891525977983,33.33333333333333,0.7778333896518234,-0.7913819750486217,4.455296411045575
mc_026_extra0.095p,C,21.0,0.553824376568936,19.047619047619047,-0.5298230980801054,-0.8551802741474379,-5.682066070791338
mc_026_extra0.095p,B,10.0,2.035243463257105,50.0,0.3704707659878477,-0.21017287744578006,4.251303287658361
mc_027_extra0.193p,A,39.0,1.3569004025174207,33.33333333333333,0.7430294958525518,-0.800175772546663,4.276950252023524
mc_027_extra0.193p,C,21.0,0.543955513151468,19.047619047619047,-0.5483279590039092,-0.8665962336321775,-5.860247642216993
mc_027_extra0.193p,B,10.0,1.9981722893884495,50.0,0.36159400205035125,-0.21106630367802026,4.1698097616440535
mc_028_extra0.091p,A,39.0,1.3785412336220564,33.33333333333333,0.7794254558247485,-0.7909807588027729,4.463404318909934
mc_028_extra0.091p,C,21.0,0.5542792491636539,19.047619047619047,-0.5289813134341603,-0.8546587522085147,-5.673929271782137
mc_028_extra0.091p,B,10.0,2.036951608119536,50.0,0.3708672688563638,-0.2101478819710234,4.2549047729237035
mc_029_extra0.171p,A,39.0,1.3616553474851631,33.33333333333333,0.751140025777513,-0.7981313197314099,4.318661163222811
mc_029_extra0.171p,C,21.0,0.5462210724974644,19.047619047619047,-0.5440446460603198,-0.8639446656079963,-5.819278372771691
mc_029_extra0.171p,B,10.0,2.0066845230127,50.0,0.36365996236114373,-0.21085751172855716,4.1888976111176275
mc_030_extra0.078p,A,39.0,1.3813167451482056,33.33333333333333,0.7840031343848568,-0.7898134507159482,4.486809286166422
mc_030_extra0.078p,C,21.0,0.5556056556567307,19.047619047619047,-0.5265393637871785,-0.8531490062054781,-5.650052875646778
mc_030_extra0.078p,B,10.0,2.0419322854105326,50.0,0.37204147329972326,-0.21002868822067589,4.265605007216963
mc_031_extra0.208p,A,39.0,1.353770167690649,33.33333333333333,0.7377116360737637,-0.8015273894429575,4.249407871538171
mc_031_extra0.208p,C,21.0,0.542464923190326,19.047619047619047,-0.5511521248994541,-0.8683531046366766,-5.887166500223332
mc_031_extra0.208p,B,10.0,1.992571165882738,50.0,0.3602128272834307,-0.21120437500382616,4.157139079874903
mc_032_extra0.048p,A,39.0,1.3877016801185145,33.33333333333333,0.7945745942330359,-0.7871545818428971,4.540211513059065
mc_032_extra0.048p,C,21.0,0.558659026152112,19.047619047619047,-0.5209551222068148,-0.8496867821480514,-5.596001159548693
mc_032_extra0.048p,B,10.0,2.0533962364427087,50.0,0.37472956620862535,-0.20975582874818155,4.290032775177951
mc_033_extra0.034p,A,39.0,1.39076556622175,33.33333333333333,0.799595020820143,-0.7858916356196732,4.565623204249534
mc_033_extra0.034p,C,21.0,0.5601252296092073,19.047619047619047,-0.5182612510015133,-0.848028234466458,-5.5698199012048555
mc_033_extra0.034p,B,10.0,2.0589003868935896,50.0,0.3760130322576879,-0.2096255529581703,4.301662701806886
mc_034_extra0.436p,A,39.0,1.3075077876071808,33.33333333333333,0.6568295131502236,-0.8219630762802743,3.825164756450524
mc_034_extra0.436p,C,21.0,0.5205139182583535,19.047619047619047,-0.5941654333111182,-0.8948884269094237,-6.293984721982124
mc_034_extra0.436p,B,10.0,1.9100288819990954,50.0,0.3395861536983648,-0.2132534400406616,3.96349204353431
mc_035_extra0.044p,A,39.0,1.3886929838632338,33.33333333333333,0.796151600703306,-0.7867543316719128,4.548214065322646
mc_035_extra0.044p,C,21.0,0.5591333367790186,19.047619047619047,-0.5200712617674434,-0.8491495786364656,-5.587416253553834
mc_035_extra0.044p,B,10.0,2.0551768587399177,50.0,0.3751452804383734,-0.2097136321352111,4.293802070194254
mc_036_extra0.071p,A,39.0,1.382820854610956,33.33333333333333,0.7865157407994412,-0.7891936442118497,4.499445256553679
mc_036_extra0.071p,C,21.0,0.556324687687436,19.047619047619047,-0.5252207966746574,-0.8523342655239463,-5.637279633296112
mc_036_extra0.071p,B,10.0,2.044632096677165,50.0,0.37267635343634536,-0.2099642424418624,4.271382970310831
mc_037_extra0.081p,A,39.0,1.3805600614846192,33.33333333333333,0.7827747587040903,-0.7901313502664209,4.48051303252972
mc_037_extra0.081p,C,21.0,0.5552439862865598,19.047619047619047,-0.527195085937019,-0.8535622322541125,-5.656564879769047
