timestamp,type,symbol,buy_exchange,sell_exchange,buy_price,sell_price,gross_profit,net_profit,route,category,unique
2025-08-13T04:15:32.495767,inter_exchange,EDUUSDT,mexc,kucoin,0.1445,0.145,0.346,0.166,mexc→kucoin,profit,False
2025-08-13T04:15:32.495876,inter_exchange,BABYDOGEUSDT,okx,bybit,1.376e-09,1.3785e-09,0.1817,0.0017,okx→bybit,breakeven,False
2025-08-13T04:15:34.012874,inter_exchange,EDUUSDT,mexc,kucoin,0.1445,0.145,0.346,0.166,mexc→kucoin,profit,False
2025-08-13T04:15:35.500815,inter_exchange,EDUUSDT,mexc,kucoin,0.1445,0.145,0.346,0.166,mexc→kucoin,profit,False
2025-08-13T04:15:35.500989,inter_exchange,BABYDOGEUSDT,okx,bybit,1.376e-09,1.3785e-09,0.1817,0.0017,okx→bybit,breakeven,False
2025-08-13T04:15:37.041543,inter_exchange,EDUUSDT,mexc,kucoin,0.1445,0.145,0.346,0.166,mexc→kucoin,profit,False
2025-08-13T04:15:37.041630,inter_exchange,BABYDOGEUSDT,okx,mexc,1.376e-09,1.3788e-09,0.2035,0.0035,okx→mexc,breakeven,False
2025-08-13T04:15:37.041673,inter_exchange,OASUSDT,okx,kucoin,0.01232,0.01236,0.3247,0.1447,okx→kucoin,profit,True
2025-08-13T04:15:38.518957,inter_exchange,EDUUSDT,mexc,kucoin,0.1445,0.145,0.346,0.166,mexc→kucoin,profit,False
2025-08-13T04:15:38.519035,inter_exchange,BABYDOGEUSDT,okx,mexc,1.376e-09,1.3788e-09,0.2035,0.0035,okx→mexc,breakeven,False
2025-08-13T04:15:38.519077,inter_exchange,OASUSDT,okx,kucoin,0.01232,0.01236,0.3247,0.1447,okx→kucoin,profit,False
2025-08-13T04:15:40.001163,inter_exchange,EDUUSDT,mexc,kucoin,0.1445,0.145,0.346,0.166,mexc→kucoin,profit,False
2025-08-13T04:15:40.001235,inter_exchange,BABYDOGEUSDT,okx,mexc,1.376e-09,1.3788e-09,0.2035,0.0035,okx→mexc,breakeven,False
2025-08-13T04:15:40.001272,inter_exchange,OASUSDT,okx,kucoin,0.01231,0.01236,0.4062,0.2262,okx→kucoin,profit,False
2025-08-13T04:15:41.485304,inter_exchange,EDUUSDT,mexc,kucoin,0.1446,0.145,0.2766,0.0966,mexc→kucoin,profit,False
2025-08-13T04:15:41.485365,inter_exchange,BABYDOGEUSDT,okx,mexc,1.376e-09,1.3791e-09,0.2253,0.0253,okx→mexc,loss,False
2025-08-13T04:15:41.485403,inter_exchange,OASUSDT,okx,kucoin,0.01231,0.01236,0.4062,0.2262,okx→kucoin,profit,False
2025-08-13T04:15:42.992876,inter_exchange,EDUUSDT,binance,kucoin,0.1445,0.145,0.346,0.191,binance→kucoin,profit,False
2025-08-13T04:15:42.992944,inter_exchange,BABYDOGEUSDT,okx,mexc,1.376e-09,1.379e-09,0.218,0.018,okx→mexc,loss,False
2025-08-13T04:15:42.992981,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01235,0.4065,0.2265,okx→kucoin,profit,False
2025-08-13T04:15:44.537049,inter_exchange,EDUUSDT,binance,kucoin,0.1445,0.145,0.346,0.191,binance→kucoin,profit,False
2025-08-13T04:15:44.537151,inter_exchange,BABYDOGEUSDT,okx,mexc,1.376e-09,1.379e-09,0.218,0.018,okx→mexc,loss,False
2025-08-13T04:15:44.537248,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:15:46.028755,inter_exchange,EDUUSDT,mexc,kucoin,0.1445,0.145,0.346,0.166,mexc→kucoin,profit,False
2025-08-13T04:15:46.028881,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:15:47.508494,inter_exchange,EDUUSDT,mexc,kucoin,0.1445,0.145,0.346,0.166,mexc→kucoin,profit,False
2025-08-13T04:15:47.508730,inter_exchange,BABYDOGEUSDT,okx,mexc,1.376e-09,1.3787e-09,0.1962,-0.0038,okx→mexc,breakeven,False
2025-08-13T04:15:47.508806,inter_exchange,OASUSDT,okx,kucoin,0.0123,0.01234,0.3252,0.1452,okx→kucoin,profit,False
2025-08-13T04:15:49.001544,inter_exchange,IDUSDT,bybit,mexc,0.176,0.1763,0.1705,-0.0095,bybit→mexc,breakeven,True
