rank,file,tag,months,share_pf_gt1,pf_median,pf_min,wr_median,dd_median
57,./out/rolling_A_24m_rsi24_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0010_edge0.5.csv,rsi24_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0010_edge0.5,24,0.4583333333333333,1.1464983157670257,0.0,53.57142857142857,-0.2581400964007607
58,./out/rolling_A_24m_rsi12_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0010_edge0.5.csv,rsi12_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0010_edge0.5,24,0.4583333333333333,1.0271703095460931,0.0,50.0,-0.3597547732018036
59,./out/rolling_A_24m_rsi14_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0010_edge0.5.csv,rsi14_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0010_edge0.5,24,0.4583333333333333,1.0271703095460931,0.0,50.0,-0.3597547732018036
60,./out/rolling_A_24m_rsi12_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.75.csv,rsi12_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.75,24,0.4583333333333333,1.0139638856454272,0.0,50.0,-0.24789380549491974
61,./out/rolling_A_24m_rsi14_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.75.csv,rsi14_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.75,24,0.4583333333333333,1.0139638856454272,0.0,50.0,-0.24789380549491974
62,./out/rolling_A_24m_rsi16_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.75.csv,rsi16_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.75,24,0.4583333333333333,1.0139638856454272,0.0,50.0,-0.24789380549491974
63,./out/rolling_A_24m_rsi18_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.75.csv,rsi18_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0007_edge0.75,24,0.4583333333333333,1.0139638856454272,0.0,50.0,-0.24789380549491974
64,./out/rolling_A_24m_rsi12_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.75.csv,rsi12_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.75,24,0.4583333333333333,1.0104839754915016,0.0,50.0,-0.3106958874882937
65,./out/rolling_A_24m_rsi14_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.75.csv,rsi14_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.75,24,0.4583333333333333,1.0104839754915016,0.0,50.0,-0.3106958874882937
66,./out/rolling_A_24m_rsi12_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0010_edge0.5.csv,rsi12_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0010_edge0.5,24,0.4583333333333333,1.0006021635589035,0.0,47.22222222222222,-0.36441718924411504
67,./out/rolling_A_24m_rsi14_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0010_edge0.5.csv,rsi14_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0010_edge0.5,24,0.4583333333333333,1.0006021635589035,0.0,47.22222222222222,-0.36441718924411504
68,./out/rolling_A_24m_rsi18_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.75.csv,rsi18_bb2.4_atr1.0_risk1_rr1.5_london7-18_atrmin0.0005_edge0.75,24,0.4583333333333333,0.8911107308039891,0.0,50.0,-0.26290299430117847
69,./out/rolling_A_24m_rsi12_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.75.csv,rsi12_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.75,24,0.4166666666666667,0.9985440159666925,0.0,50.0,-0.24789380549491974
70,./out/rolling_A_24m_rsi14_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.75.csv,rsi14_bb2.4_atr1.0_risk1_rr1.5_london8-17_atrmin0.0005_edge0.75,24,0.4166666666666667,0.9985440159666925,0.0,50.0,-0.24789380549491974
