Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry__atr(H,L,C,14)","Exit__atr(H,L,C,14)","Entry__asia_ran…(H,L,timestamp,0,6)_0","Exit__asia_ran…(H,L,timestamp,0,6)_0","Entry__asia_ran…(H,L,timestamp,0,6)_1","Exit__asia_ran…(H,L,timestamp,0,6)_1","Entry__session_…(timestamp,7,12)","Exit__session_…(timestamp,7,12)"
8067,35893,35902,1.1417444826386982,1.1409046228507973,1.1409046228507973,1.1438861314476083,-6.775148908996638,0.0,-0.0007355934718071833,2022-02-08 10:45:00+00:00,2022-02-08 13:00:00+00:00,0 days 02:15:00,B_long,0.0008139935293091272,0.0007903150406366854,1.14487,1.14487,1.14151,1.14151,1.0,0.0
8062,35979,35986,1.141704478977907,1.1432733506074706,1.1410155497975099,1.1432733506074706,12.648243077542151,0.0,0.0013741486159082328,2022-02-09 08:15:00+00:00,2022-02-09 10:00:00+00:00,0 days 01:45:00,B_long,0.0006358568421582308,0.0006440928009348757,1.14323,1.14323,1.1412,1.1412,1.0,1.0
-8063,35994,35994,1.142865395639998,1.1435632560415196,1.1435632560415196,1.141030231875441,-5.62684841746991,0.0,-0.0006106234419067658,2022-02-09 12:00:00+00:00,2022-02-09 12:00:00+00:00,0 days 00:00:00,B_short,0.0006661552359837788,0.0006661552359837788,1.14323,1.14323,1.1412,1.1412,0.0,0.0
-8138,36361,36362,1.1316164252374938,1.1322910126415675,1.1322910126415675,1.1302069620752973,-5.489792294351508,0.0,-0.0005961272645296223,2022-02-15 07:45:00+00:00,2022-02-15 08:00:00+00:00,0 days 00:15:00,B_short,0.0005475442893585461,0.000873205050777413,1.13224,1.13224,1.13031,1.13031,1.0,1.0
-8096,36650,36652,1.13685594567386,1.1373750631643218,1.1373750631643218,1.1357548105070348,-4.202775202778248,0.0,-0.0004566255667106667,2022-02-18 08:00:00+00:00,2022-02-18 08:30:00+00:00,0 days 00:30:00,B_short,0.00044705474241210554,0.0004472544509673306,1.13712,1.13712,1.13577,1.13577,1.0,1.0
-8091,36655,36663,1.1369259392674755,1.1354595199704867,1.1375801600098376,1.1354595199704867,11.864798531936984,0.0,0.0012898107487403498,2022-02-18 09:15:00+00:00,2022-02-18 11:15:00+00:00,0 days 02:00:00,B_short,0.0005648053418593516,0.0006646599915435642,1.13712,1.13712,1.13577,1.13577,1.0,1.0
8108,36666,36670,1.1363339875167024,1.1355173887174628,1.1355173887174628,1.1384078338476114,-6.620983064235294,0.0,-0.0007186256929833101,2022-02-18 12:00:00+00:00,2022-02-18 13:00:00+00:00,0 days 01:00:00,B_long,0.0006915964448655685,0.0007287985394924905,1.13712,1.13712,1.13577,1.13577,0.0,0.0
-8100,36749,36762,1.1364459831969687,1.1342286925921734,1.1373371024692756,1.1342286925921734,17.960053898841544,0.0,0.0019510743472009873,2022-02-21 08:45:00+00:00,2022-02-21 12:00:00+00:00,0 days 03:15:00,B_short,0.0008668221400387989,0.0007120825443316972,1.13679,1.13679,1.1313,1.1313,1.0,0.0
-8148,36850,36850,1.1318364051031427,1.1329304331720753,1.1329304331720753,1.1289287004837745,-8.91414070566333,0.0,-0.0009665955821884786,2022-02-22 10:00:00+00:00,2022-02-22 10:00:00+00:00,0 days 00:00:00,B_short,0.0010510420824652131,0.0010510420824652131,1.13197,1.13197,1.1288,1.1288,1.0,1.0
-8128,36939,36940,1.1336262412827411,1.1343609976261901,1.1343609976261901,1.1317970071214298,-5.972099559553428,0.0,-0.0006481469082946223,2022-02-23 08:15:00+00:00,2022-02-23 08:30:00+00:00,0 days 00:15:00,B_short,0.0006528646093646839,0.000652482661449398,1.13387,1.13387,1.13199,1.13199,1.0,1.0
