rsi_len,bb_std,rsi_os,rsi_ob,rr_tp,atr_mult_sl,risk_pct,a_atr_min,a_edge_mult,a_session_start,a_session_end,train_trades,train_pf,train_wr,train_ret,train_dd,train_sharpe,oos_trades,oos_pf,oos_wr,oos_ret,oos_dd,oos_sharpe
10,1.8,30.0,70.0,1.5,1.0,0.01,0.0005,1.0,8,17,275.0,0.6798691651320649,36.72727272727273,-5.878504166349976,-6.094203812505472,-1.7676299701461304,114.0,1.4287918217501245,51.75438596491229,2.9391712972408097,-1.430465678846693,1.6717599508933316
12,1.8,25.0,75.0,1.5,1.0,0.01,0.0005,1.0,8,17,272.0,0.6890543177368915,37.13235294117647,-5.641551117273484,-5.857788096041661,-1.6922720257232293,114.0,1.4287918217501245,51.75438596491229,2.9391712972408097,-1.430465678846693,1.6717599508933316
12,1.8,30.0,70.0,1.5,1.0,0.01,0.0005,1.0,8,17,275.0,0.6798691651320649,36.72727272727273,-5.878504166349976,-6.094203812505472,-1.7676299701461304,114.0,1.4287918217501245,51.75438596491229,2.9391712972408097,-1.430465678846693,1.6717599508933316
14,1.8,30.0,70.0,1.5,1.0,0.01,0.0005,1.0,8,17,275.0,0.6798691651320649,36.72727272727273,-5.878504166349976,-6.094203812505472,-1.7676299701461304,114.0,1.4287918217501245,51.75438596491229,2.9391712972408097,-1.430465678846693,1.6717599508933316
16,1.8,30.0,70.0,1.5,1.0,0.01,0.0005,1.0,8,17,275.0,0.6798691651320649,36.72727272727273,-5.878504166349976,-6.094203812505472,-1.7676299701461304,114.0,1.4287918217501245,51.75438596491229,2.9391712972408097,-1.430465678846693,1.6717599508933316
18,1.8,30.0,70.0,1.5,1.0,0.01,0.0005,1.0,8,17,274.0,0.6825754379349906,36.86131386861314,-5.8081610834810995,-6.023999496198995,-1.7476850091671783,114.0,1.4287918217501245,51.75438596491229,2.9391712972408097,-1.430465678846693,1.6717599508933316
10,1.8,25.0,75.0,1.5,1.0,0.01,0.0007,1.0,8,17,236.0,0.669959643375326,36.016949152542374,-5.598454117740257,-5.845302830916421,-1.7092404393772704,107.0,1.426243159578124,51.4018691588785,2.8304824335473313,-1.4304756094307924,1.6501821038984774
10,1.8,30.0,70.0,1.5,1.0,0.01,0.0007,1.0,8,17,236.0,0.669959643375326,36.016949152542374,-5.598454117740257,-5.845302830916421,-1.7092404393772704,107.0,1.426243159578124,51.4018691588785,2.8304824335473313,-1.4304756094307924,1.6501821038984774
12,1.8,25.0,75.0,1.5,1.0,0.01,0.0007,1.0,8,17,234.0,0.677270558045243,36.324786324786324,-5.42096859037858,-5.668268057587433,-1.6534614857105496,107.0,1.426243159578124,51.4018691588785,2.8304824335473313,-1.4304756094307924,1.6501821038984774
12,1.8,30.0,70.0,1.5,1.0,0.01,0.0007,1.0,8,17,236.0,0.669959643375326,36.016949152542374,-5.598454117740257,-5.845302830916421,-1.7092404393772704,107.0,1.426243159578124,51.4018691588785,2.8304824335473313,-1.4304756094307924,1.6501821038984774
14,1.8,30.0,70.0,1.5,1.0,0.01,0.0007,1.0,8,17,236.0,0.669959643375326,36.016949152542374,-5.598454117740257,-5.845302830916421,-1.7092404393772704,107.0,1.426243159578124,51.4018691588785,2.8304824335473313,-1.4304756094307924,1.6501821038984774
16,1.8,30.0,70.0,1.5,1.0,0.01,0.0007,1.0,8,17,236.0,0.669959643375326,36.016949152542374,-5.598454117740257,-5.845302830916421,-1.7092404393772704,107.0,1.426243159578124,51.4018691588785,2.8304824335473313,-1.4304756094307924,1.6501821038984774
18,1.8,30.0,70.0,1.5,1.0,0.01,0.0007,1.0,8,17,235.0,0.672851886358165,36.17021276595745,-5.527870600716269,-5.7748697277567596,-1.6874931486612517,107.0,1.426243159578124,51.4018691588785,2.8304824335473313,-1.4304756094307924,1.6501821038984774
14,1.8,25.0,75.0,1.8,1.0,0.01,0.0005,1.0,8,17,267.0,0.7220467507622488,33.70786516853933,-5.237067875047578,-5.628455298708146,-1.473258672162835,113.0,1.4237596795022565,46.902654867256636,3.1638397020342017,-1.196048730529753,1.6351244334440342
20,1.8,30.0,70.0,1.8,1.0,0.01,0.0005,1.0,8,17,271.0,0.718094262211964,33.579335793357934,-5.384976974846813,-5.775739657126411,-1.4972737372360152,113.0,1.4237596795022565,46.902654867256636,3.1638397020342017,-1.196048730529753,1.6351244334440342
14,1.8,25.0,75.0,1.8,1.0,0.01,0.001,1.0,8,17,134.0,0.5896015146314558,27.611940298507463,-5.1637307395693455,-5.689357648123783,-1.652650329464693,74.0,1.4200561118379615,45.94594594594595,2.4264501754613232,-0.867569741469798,1.3880966230560519
20,1.8,30.0,70.0,1.8,1.0,0.01,0.001,1.0,8,17,135.0,0.5848332806107579,27.40740740740741,-5.263213729761119,-5.788279189959978,-1.6795526528669495,74.0,1.4200561118379615,45.94594594594595,2.4264501754613232,-0.867569741469798,1.3880966230560519
